mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.026632404327392577,0.0023469729647469227,0.0017210006713867187,5.819808748196112e-05,50,3,0.05,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.05}",-0.9518849237045284,-1.422619940475585,-1.0342669632848112,-1.2510310255408703,-0.46448543308850376,-1.0248576572188597,0.3252075678620427,5
0.044940853118896486,0.0021508431087877058,0.0017378807067871093,8.81400177356936e-05,100,3,0.05,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",-0.9548266805738206,-1.462160907445199,-0.9536596251056979,-1.211469343110992,-0.4565507002702116,-1.0077334513011844,0.3339275839493787,4
0.08595089912414551,0.004590599809702948,0.002075004577636719,0.00047395098310544964,200,3,0.1,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",-0.9880060515900881,-1.4309202037452733,-0.8993859637032677,-1.2332298401539676,-0.4549260768362702,-1.0012936272057735,0.3308935278269598,3
0.09099631309509278,0.008385941459598688,0.002162599563598633,0.0006940444462934347,200,5,0.05,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05}",-1.5772008870207208,-1.1816604349720798,-1.2399284723034842,-1.4027154119628005,-0.5610396149062742,-1.192508964233072,0.3444690016814823,9
0.024655485153198244,0.0013232110478306398,0.001858997344970703,0.0003974899334979085,50,5,0.05,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.05}",-1.5179889094475916,-1.1155195547856565,-1.2256833544700956,-1.3601124105203581,-0.5878586204915295,-1.1614325699430463,0.3168057278697157,6
0.044681119918823245,0.0012986274194913131,0.0016598224639892579,0.00011333310855822444,100,3,0.2,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",-0.9925936051289286,-1.4511356332281773,-0.9397822287576851,-1.154015451514265,-0.37098170170136413,-0.981701724066084,0.3535293590680843,1
0.04196510314941406,0.0011054179920736173,0.001522064208984375,0.0002558393331058873,100,5,0.2,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}",-1.622100353065206,-1.1987009753040676,-1.2383890912534343,-1.3009723112354434,-0.5658033140145493,-1.18519320897454,0.3437873635545653,7
0.02596592903137207,0.0032521981498987804,0.0017667770385742187,0.0001803108249526576,50,5,0.2,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.2}",-1.6221164790999765,-1.1986975560962272,-1.238393013696455,-1.3009643194357867,-0.565808123632981,-1.1851958983922852,0.3437892856141895,8
0.0735395908355713,0.0035186412662468005,0.0009400367736816407,5.2328267035535554e-05,200,5,0.1,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1}",-1.60301701295694,-1.2087889196506016,-1.260857079379941,-1.3636415706726286,-0.5642990779284776,-1.200120732117718,0.34557132260810736,10
0.059430170059204104,0.008096374073735967,0.0010418891906738281,0.00019741870338215665,200,3,0.05,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",-0.9484272445963451,-1.4567151911626615,-0.9394650890184522,-1.2067820109571288,-0.4492448701788465,-1.0001268811826869,0.3349635571138546,2
